Fighter_Id,Full_Name,Nickname,Height,Weight,Reach,Stance,Belt,Gender,Weight_Class_Profile,W,L,D,Avg_Fight_Time,KD,STR,TD,SUB,Ctrl,Sig_Str_Pct,Sub_Att,KO_Rate,SUB_Rate,DEC_Rate,Fighting_Style
40ff198adda94b9f,Mark Eddiva,No Nickname,5.8,145.0,68.0,Orthodox,False,Male,Featherweight,6.0,3.0,0.0,619.0,0.0,24.25,2.0,0.5,131.0,0.43,0.5,0.0,0.0,1.0,Striker
4100c7a09497ad41,Kay Hansen,No Nickname,5.2,115.0,63.0,Orthodox,False,Female,Women's Strawweight,7.0,6.0,0.0,861.5,0.0,42.25,1.5,0.25,253.5,0.46,0.25,0.0,0.33,0.67,Striker
410898e8dd6ca9b6,Ernie Juarez,The Young Titan,5.8,145.0,70.0,Orthodox,False,,,8.0,1.0,0.0,,,,,,,,,,,,
411539901068522f,Jodie Esquibel,No Nickname,5.1,115.0,64.0,Orthodox,False,Female,Women's Strawweight,6.0,6.0,0.0,900.0,0.0,61.5,0.75,0.0,94.25,0.33,0.0,0.0,0.0,0.0,Hybrid
411d012af19ecb59,Chris Spang,The Kiss,6.2,170.0,,Orthodox,False,Male,Welterweight,6.0,3.0,0.0,900.0,0.0,38.0,6.0,0.0,269.0,0.38,0.0,0.0,0.0,1.0,Striker
4122da4f791b2f4f,Kolton Englund,White Assassin,5.1,155.0,69.0,Orthodox,False,,,9.0,4.0,0.0,,,,,,,,,,,,
4123fd4dcc1fe937,David Terrell,The Soul Assassin,6.1,185.0,,Southpaw,False,Male,Middleweight,6.0,2.0,0.0,162.33,0.33,6.33,1.0,1.0,34.33,0.62,1.0,0.5,0.5,0.0,Wrestler
4126a78111c0855a,Caio Borralho,The Natural,6.1,185.0,75.0,Southpaw,False,Male,Middleweight,17.0,2.0,0.0,929.38,0.12,39.12,1.25,0.12,238.75,0.47,0.12,0.0,0.25,0.75,Striker
4130a743d9d22163,Alan Belcher,The Talent,6.2,185.0,75.0,Orthodox,False,Male,Middleweight,18.0,8.0,0.0,550.53,0.2,23.13,0.4,0.53,93.73,0.36,0.53,0.57,0.29,0.14,Hybrid
4144798612ef96e5,Edmen Shahbazyan,The Golden Boy,6.2,185.0,75.0,Orthodox,False,Male,Middleweight,16.0,5.0,0.0,473.93,0.36,30.71,0.71,0.79,75.14,0.5,0.79,0.7,0.2,0.1,Striker
